"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_Angle","type_value_PassEndY","type_value_PassEndX","type_value_Length","type_value_Longball","type_value_ThrowIn","type_value_Chipped","type_value_Cross","type_value_HeadPass","type_value_LayOff","type_value_Head","type_value_OppositeRelatedEvent","type_value_MissLeft","type_value_CornerTaken","type_value_Defensive","type_value_Offensive","type_value_GoalKick","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_LowLeft","type_value_LeftFoot","type_value_BoxCentre","type_value_GoalMouthY","type_value_RegularPlay","type_value_BlockedY","type_value_SixYardBlock","type_value_Volley","type_value_Assisted","type_value_Blocked","type_value_FirstTouch","type_value_GoalMouthZ","type_value_BlockedX","type_value_RelatedEventId","type_value_OutfielderBlock","type_value_ThrowinSetPiece","type_value_BoxLeft","type_value_RightFoot","type_value_LowRight","type_value_Foul","type_value_FreekickTaken","type_value_KeeperThrow","type_value_LastMan","type_value_DivingSave","type_value_Hands","type_value_ParriedDanger","type_value_KeeperSaveInTheBox","type_value_BoxRight","type_value_LowCentre","type_value_ParriedSafe","type_value_StandingSave","type_value_GoalDisallowed","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_LeadingToAttempt","type_value_IndividualPlay","type_value_MissHigh","type_value_OutOfBoxCentre","type_value_BlockedCross","type_value_MissRight","type_value_FromCorner","type_value_DirectFreekick","type_value_Throughball","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_KeeperSaveObox","type_value_HighCentre","type_value_Collected","type_value_Yellow","type_value_IntentionalGoalAssist","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_HighLeft","type_value_FastBreak","value_Zone","value_Angle","value_PassEndY","value_PassEndX","value_Length","value_Longball","value_ThrowIn","value_Chipped","value_Cross","value_HeadPass","value_LayOff","value_Head","value_OppositeRelatedEvent","value_MissLeft","value_CornerTaken","value_Defensive","value_Offensive","value_GoalKick","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_LowLeft","value_LeftFoot","value_BoxCentre","value_GoalMouthY","value_RegularPlay","value_BlockedY","value_SixYardBlock","value_Volley","value_Assisted","value_Blocked","value_FirstTouch","value_GoalMouthZ","value_BlockedX","value_RelatedEventId","value_OutfielderBlock","value_ThrowinSetPiece","value_BoxLeft","value_RightFoot","value_LowRight","value_Foul","value_FreekickTaken","value_KeeperThrow","value_LastMan","value_DivingSave","value_Hands","value_ParriedDanger","value_KeeperSaveInTheBox","value_BoxRight","value_LowCentre","value_ParriedSafe","value_StandingSave","value_GoalDisallowed","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_LeadingToAttempt","value_IndividualPlay","value_MissHigh","value_OutOfBoxCentre","value_BlockedCross","value_MissRight","value_FromCorner","value_DirectFreekick","value_Throughball","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_KeeperSaveObox","value_HighCentre","value_Collected","value_Yellow","value_IntentionalGoalAssist","value_InvolvedPlayers","value_TeamFormation","value_CaptainPlayerId","value_TeamPlayerFormation","value_HighLeft","value_FastBreak","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,422,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,255618,22.89,33.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2718976557,0,56,213,141,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","3.14","49.9","21.8","29.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"Finland","England",6,"Glen Kamara","MC",TRUE,-29.6100281573451,0,-179.868419244933,"G. Kamara",1,1,"Finland",1
2,4,0,4,422,22.47,32.98,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,64846,37.17,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2718976605,0,56,213,141,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","0.78","70.0","35.4","20.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"Finland","England",1,"Lukas Hradecky","GK",TRUE,13.3563282181383,0,44.8436681109718,"L. Hradecky",2,1,"Finland",2
3,5,0,8,422,35.49,47.124,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,101113,20.475,41.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2718976629,0,56,213,141,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","3.49","61.4","19.5","15.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"Finland","England",18,"Jere Uronen","DL",TRUE,-14.1416284856047,0,-160.314032111535,"J. Uronen",3,1,"Finland",3
4,6,0,9,422,20.475,41.752,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 128, 36, 37, 216, 218)",TRUE,64846,40.845,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2718976661,0,56,213,141,140,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","0.93","100.0","38.9","33.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"Finland","England",1,"Lukas Hradecky","GK",TRUE,12.2721302432538,0,52.1864227022175,"L. Hradecky",4,1,"Finland",4
5,4,0,15,345,65.625,0,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 212, 36, 37, 217)",TRUE,318871,78.225,7.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2718976699,0,56,213,141,140,212,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","0.59","10.6","74.5","15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"England","Finland",2,"Trent Alexander-Arnold","DR",TRUE,14.1453908451184,0,29.7722974173866,"T. Alexander-Arnold",5,2,"England",5
6,8,0,17,422,25.62,60.52,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,62412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2718976707,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"Finland","England",11,"Rasmus Schuller","MC",TRUE,0,0,NA,"R. Schuller",6,2,"England",6
7,5,0,18,345,76.44,14.688,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 124, 127, 205, 36, 37, 217, 218)",TRUE,83532,99.645,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2718976757,0,56,213,141,140,212,1,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","1.04","80.0","94.9","46.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"England","Finland",9,"Harry Kane","FW",TRUE,13.3853332534248,0,59.7008810175011,"H. Kane",7,2,"England",7
8,5.5,0,22,345,99.645,54.4,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,349669,95.865,57.052,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.366666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"England","Finland",11,"Anthony Gordon","AML",TRUE,0,-3.70489030464313,144.946987936559,"A. Gordon",8,2,"England",8
9,6,0,26,345,95.865,57.052,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 217, 218)",TRUE,349669,72.87,57.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,2718976789,0,56,213,141,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","3.14","83.9","69.4","23.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"England","Finland",11,"Anthony Gordon","AML",TRUE,-14.7480199026598,0,180,"A. Gordon",9,2,"England",9
10,7,0,30,345,72.87,57.052,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,444791,61.635,40.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2718976809,0,56,213,141,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","4.11","59.7","58.7","19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-10 22:39:32",0,"Wembley Stadium","Morten Krogh","2 : 0",345,422,NA,NA,NA,"England","Finland",3,"Rico Lewis","DL",TRUE,-4.31972501639165,0,-124.322514250492,"R. Lewis",10,2,"England",10
