"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_Zone","type_value_PassEndX","type_value_Length","type_value_Angle","type_value_Chipped","type_value_Longball","type_value_ThrowIn","type_value_Offensive","type_value_Foul","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_FreekickTaken","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HeadPass","type_value_LayOff","type_value_GoalKick","type_value_ShotAssist","type_value_KeyPass","type_value_BlockedY","type_value_BlockedX","type_value_GoalMouthZ","type_value_GoalMouthY","type_value_RightFoot","type_value_BoxLeft","type_value_RelatedEventId","type_value_Assisted","type_value_LowCentre","type_value_FastBreak","type_value_IndividualPlay","type_value_Hands","type_value_Collected","type_value_DivingSave","type_value_KeeperSaveInTheBox","type_value_KeeperThrow","type_value_Red","type_value_JerseyNumber","type_value_TeamPlayerFormation","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_PlayerPosition","type_value_CaptainPlayerId","type_value_DirectFreekick","type_value_Blocked","type_value_OutOfBoxCentre","type_value_OutfielderBlock","type_value_LastMan","type_value_Cross","type_value_LeftFoot","type_value_BigChance","type_value_RegularPlay","type_value_BoxCentre","type_value_LowRight","type_value_Head","type_value_IntentionalAssist","type_value_FirstTouch","type_value_Throughball","type_value_Volley","type_value_StandingSave","type_value_Yellow","type_value_MissLeft","type_value_GoalDisallowed","type_value_BoxRight","type_value_MissHigh","type_value_HighRight","type_value_HighClaim","type_value_MissRight","type_value_CornerTaken","type_value_FromCorner","type_value_HighLeft","type_value_FormationSlot","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_SixYardBlock","type_value_LowLeft","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_OverRun","type_value_SetPiece","value_PassEndY","value_Zone","value_PassEndX","value_Length","value_Angle","value_Chipped","value_Longball","value_ThrowIn","value_Offensive","value_Foul","value_OppositeRelatedEvent","value_Defensive","value_FreekickTaken","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HeadPass","value_LayOff","value_GoalKick","value_ShotAssist","value_KeyPass","value_BlockedY","value_BlockedX","value_GoalMouthZ","value_GoalMouthY","value_RightFoot","value_BoxLeft","value_RelatedEventId","value_Assisted","value_LowCentre","value_FastBreak","value_IndividualPlay","value_Hands","value_Collected","value_DivingSave","value_KeeperSaveInTheBox","value_KeeperThrow","value_Red","value_JerseyNumber","value_TeamPlayerFormation","value_TeamFormation","value_InvolvedPlayers","value_PlayerPosition","value_CaptainPlayerId","value_DirectFreekick","value_Blocked","value_OutOfBoxCentre","value_OutfielderBlock","value_LastMan","value_Cross","value_LeftFoot","value_BigChance","value_RegularPlay","value_BoxCentre","value_LowRight","value_Head","value_IntentionalAssist","value_FirstTouch","value_Throughball","value_Volley","value_StandingSave","value_Yellow","value_MissLeft","value_GoalDisallowed","value_BoxRight","value_MissHigh","value_HighRight","value_HighClaim","value_MissRight","value_CornerTaken","value_FromCorner","value_HighLeft","value_FormationSlot","value_ParriedSafe","value_KeeperSaveObox","value_SixYardBlock","value_LowLeft","value_BigChanceCreated","value_IntentionalGoalAssist","value_OverRun","value_SetPiece","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,65,52.395,34.204,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,402197,38.01,36.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2722573747,0,141,56,140,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.3","Back","36.2","14.5","3.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.01689528,0.01262646,-0.00426882,"Barcelona","Monaco",8,"Pedri","AMC",TRUE,-14.4221781489209,0,171.92845660583,"Pedri",1,1,"Barcelona",1
2,4,0,4,65,38.01,36.244,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,368091,33.705,27.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2722573749,0,141,56,140,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.1","Back","32.1","10.0","4.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.01262646,0.01132376,-0.0013027,"Barcelona","Monaco",24,"Eric Garcia","DMC",TRUE,-4.58455410749069,0,-115.622949124122,"E. Garcia",2,1,"Barcelona",2
3,5,0,5,65,33.705,27.268,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,498386,29.505,51.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,2722573755,0,141,56,140,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75.9","Back","28.1","24.7","1.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.01132376,0.0105949,-0.00072886,"Barcelona","Monaco",2,"Pau Cubarsi","DC",TRUE,-5.90998238776901,0,99.7887121400124,"P. Cubarsi",3,1,"Barcelona",3
4,6,0,6,65,29.505,51.612,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,106885,37.065,63.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2722573771,0,141,56,140,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.9","Back","35.3","13.8","0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.0105949,0.01126267,0.00066777,"Barcelona","Monaco",5,"Inigo Martinez","DC",TRUE,3.58856023909868,0,56.8161470728393,"I. Martinez",4,1,"Barcelona",4
5,7,0,8,65,38.325,64.192,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 124, 128, 36, 38, 217, 218)",TRUE,422938,70.665,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2722573773,0,141,56,140,212,213,155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.0","Left","67.3","32.5","6.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,NA,NA,NA,"Barcelona","Monaco",3,"Alejandro Balde","DL",TRUE,29.3889622421347,0,-5.28578724238808,"A. Balde",5,1,"Barcelona",5
6,3,0,10,248,30.87,5.372,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 124, 128, 36, 38, 217, 218)",TRUE,371063,76.335,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2722573797,0,141,56,140,212,213,155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","Right","72.7","46.0","6.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,NA,NA,NA,"Monaco","Barcelona",17,"Wilfried Singo","DR",TRUE,34.9946979766447,0,-6.73864375477785,"W. Singo",6,1,"Barcelona",6
7,9,0,21,65,26.355,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 38, 216)",TRUE,422938,60.69,63.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2722573833,0,141,56,140,212,213,NA,1,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93.5","Left","57.8","34.8","6.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.00977659,0.0174506,0.00767401,"Barcelona","Monaco",3,"Alejandro Balde","DL",TRUE,32.403655341922,0,-7.33543523092627,"A. Balde",7,1,"Barcelona",7
8,9.5,0,24.5,65,60.69,63.58,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,402197,62.895,49.64,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.408333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.0174506,0.01935132,0.00190072,"Barcelona","Monaco",8,"Pedri","AMC",TRUE,0,8.36026233145255,-81.0115443645523,"Pedri",8,1,"Barcelona",8
9,10,0,28,65,62.895,49.64,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 35, 38, 216, 218)",TRUE,402197,49.35,19.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466666666666667,2722573839,0,141,56,140,212,213,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.5","Back","47.0","33.2","4.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.01935132,0.01429128,-0.00506004,"Barcelona","Monaco",8,"Pedri","AMC",TRUE,-12.622466596406,0,-114.114273653434,"Pedri",9,1,"Barcelona",9
10,11,0,31,65,49.35,19.38,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,301019,66.36,2.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516666666666667,2722573843,0,141,56,140,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.1","Right","63.2","23.8","5.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,0.01429128,0.0174506,0.00315932,"Barcelona","Monaco",23,"Jules Kounde","DR",TRUE,7.86708997095244,0,-44.2872924060217,"J. Kounde",10,1,"Barcelona",10
11,12,0,32,65,66.36,2.788,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,480249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,2722573847,0,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,NA,NA,NA,"Barcelona","Monaco",19,"Lamine Yamal","AMR",TRUE,0,0,NA,"L. Yamal",11,1,"Barcelona",11
12,6,0,44,248,35.805,68,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 212, 36, 38, 216)",TRUE,408033,52.29,53.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333333333,2722573927,0,141,56,140,212,213,NA,1,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.1","Back","49.8","22.2","5.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-20 00:29:29",0,"Stade Louis-II","Allard Lindhout","2 : 1",248,65,NA,NA,NA,"Monaco","Barcelona",2,"Vanderson","DL",TRUE,20.7950586999777,0,-40.7651865043658,"Vanderson",12,1,"Barcelona",12
