eventId;minute;second;teamId;x;y;period;type;outcomeType;qualifiers.type.value;qualifiers.type.displayName;qualifiers.value;satisfiedEventsTypes;isTouch;playerId;endX;endY;blockedX;blockedY;goalMouthZ;goalMouthY;isShot;relatedEventId;relatedPlayerId;isGoal;cardType;isOwnGoal;cumulative_mins;id;typeId;name;assist;type_value_Jersey number;type_value_Team formation;type_value_Team player formation;type_value_Resume;type_value_Involved;type_value_Team kit;type_value_Player position;type_value_Captain;type_value_Direction of Play;type_value_Kick Off;type_value_Zone;type_value_Not visible;type_value_Pass End X;type_value_Length;type_value_Angle;type_value_Pass End Y;type_value_Launch;type_value_Long ball;type_value_Throw-in;type_value_Offensive;"type_value_Blocked
Pass";type_value_Opposite related event ID;"type_value_Opposite
related
event ID";type_value_Defensive;type_value_Foul;type_value_Direct;type_value_Shove/push;type_value_Free kick taken;type_value_Head pass;type_value_In-swinger;type_value_Chipped;type_value_Cross;type_value_Right footed;type_value_Lay-off;type_value_Assist;type_value_Right;type_value_Assisted;type_value_GK Y Coordinate;type_value_GK X blocked;type_value_Box-left;type_value_Goal mouth z coordinate;type_value_Related event ID;type_value_Left footed;type_value_Goal mouth y coordinate;type_value_Regular play;type_value_High;type_value_Goal Kick;type_value_Flick-on;type_value_Out of play;type_value_Head;type_value_Aerial Foul;type_value_Out-swinger;type_value_Blocked cross;type_value_Keeper Throw;type_value_Left;type_value_Corner taken;type_value_Straight;type_value_Low;type_value_Switch of play;type_value_Overrun;"type_value_Intentional
assist";type_value_Not past goal line;type_value_Blocked y co-ordinate;type_value_Box-centre;type_value_First Touch;type_value_Blocked x co-ordinate;type_value_Attempted Tackle;type_value_Gk kick from hands;type_value_Low left;type_value_Hands;type_value_Parried danger;type_value_Diving;type_value_Close left;type_value_Small box-left;type_value_Volley;type_value_Box-right;type_value_Individual Play;type_value_Yellow Card;type_value_Time wasting;type_value_Players caught offside;type_value_Indirect;type_value_Argument;type_value_Overhit Cross;type_value_Low centre;type_value_Out of box-centre;type_value_Caught;type_value_Standing;type_value_Review;type_value_Red card;type_value_Violent conduct;type_value_Weak;type_value_Stooping;type_value_Collected;type_value_Set piece;type_value_High centre;type_value_Keeper Touched;type_value_Small box- centre;type_value_Big Chance;type_value_Follows a Dribble;type_value_High Right;type_value_35+ centre;type_value_Blocked;type_value_Def block;type_value_Dissent;type_value_End type;type_value_Second yellow;type_value_Tactical;type_value_Position Side ID;type_value_Detailed Position ID;type_value_Formation slot;type_value_Shirt Pull/Holding;type_value_From corner;type_value_Through ball;type_value_Low right;type_value_Over-arm;type_value_Solo run;type_value_Close right and high;type_value_Game end;value_Team formation;value_Captain;value_Direction of Play;value_Kick Off;value_Zone;value_Not visible;value_Pass End X;value_Length;value_Angle;value_Pass End Y;value_Launch;value_Long ball;value_Throw-in;value_Offensive;"value_Blocked
Pass";value_Opposite related event ID;"value_Opposite
related
event ID";value_Defensive;value_Foul;value_Direct;value_Shove/push;value_Free kick taken;value_Head pass;value_In-swinger;value_Chipped;value_Cross;value_Right footed;value_Lay-off;value_Assist;value_Right;value_Assisted;value_GK Y Coordinate;value_GK X blocked;value_Box-left;value_Goal mouth z coordinate;value_Related event ID;value_Left footed;value_Goal mouth y coordinate;value_Regular play;value_High;value_Goal Kick;value_Flick-on;value_Out of play;value_Head;value_Aerial Foul;value_Out-swinger;value_Blocked cross;value_Keeper Throw;value_Left;value_Corner taken;value_Straight;value_Low;value_Switch of play;value_Overrun;"value_Intentional
assist";value_Not past goal line;value_Blocked y co-ordinate;value_Box-centre;value_First Touch;value_Blocked x co-ordinate;value_Attempted Tackle;value_Gk kick from hands;value_Low left;value_Hands;value_Parried danger;value_Diving;value_Close left;value_Small box-left;value_Volley;value_Box-right;value_Individual Play;value_Yellow Card;value_Time wasting;value_Players caught offside;value_Indirect;value_Argument;value_Overhit Cross;value_Low centre;value_Out of box-centre;value_Caught;value_Standing;value_Review;value_Red card;value_Violent conduct;value_Weak;value_Stooping;value_Collected;value_Set piece;value_High centre;value_Keeper Touched;value_Small box- centre;value_Big Chance;value_Follows a Dribble;value_High Right;value_35+ centre;value_Blocked;value_Def block;value_Dissent;value_End type;value_Second yellow;value_Tactical;value_Position Side ID;value_Detailed Position ID;value_Formation slot;value_Shirt Pull/Holding;value_From corner;value_Through ball;value_Low right;value_Over-arm;value_Solo run;value_Close right and high;value_Game end;teamName;h_a;ft;timeStamp;venueName;competition;season;index;start_zone_value_xT;end_zone_value_xT;xT;oppositionTeamName;prog_pass;prog_carry;pass_or_carry_angle;shortName;event_index;possession_id;possession_team;row_number
2;0;0;ba8jyjo18tvjwei7w7thljw10;0;0;FirstHalf;Start;Successful;;;;;;;;;;;;;;;;;;;0;2719899767;32;;;;;;;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Right to Left;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;1;;;;Levante UD;0;0;;;1;1;CD Eldense;1
2;0;0;4grc9qgcvusllap8h5j6gc5h5;0;0;FirstHalf;Start;Successful;;;;;;;;;;;;;;;;;;;0;2719899803;32;;;;;;;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Left to Right;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;2;;;;CD Eldense;0;0;;;2;1;CD Eldense;2
3;0;0;ba8jyjo18tvjwei7w7thljw10;52,395;33,932;FirstHalf;Pass;Successful;;;;;;a6y0o3h1zrq6limns5j616prd;24,15;39,372;;;;;;;;;;;0;2719899993;1;Ivan Chapela;;;;;;;;;;;279;56;189;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;Back;;23.0;28.8;2.95;57.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;3;0,01484598;0,01016549;-0,00468049;Levante UD;-28,42322818;0;169,0982977;I. Chapela;3;1;CD Eldense;3
563;0;0;ba8jyjo18tvjwei7w7thljw10;0;0;PostGame;End;Successful;;;;;;;;;;;;;;;;;;;0;2720113039;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;4;;;;Levante UD;0;0;;;4;1;CD Eldense;4
902;0;0;4grc9qgcvusllap8h5j6gc5h5;0;0;PostGame;End;Successful;;;;;;;;;;;;;;;;;;;0;2720113049;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;5;;;;CD Eldense;0;0;;;5;1;CD Eldense;5
1;0;0;4grc9qgcvusllap8h5j6gc5h5;0;0;PreMatch;FormationSet;Successful;;;;;;;;;;;;;;;;;;;0;2719836449;34;;;59;130;131;227;30;197;44;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;e98i1kwb733b830mk2wqdlene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;6;;;;CD Eldense;0;0;;;6;1;CD Eldense;6
1;0;0;ba8jyjo18tvjwei7w7thljw10;0;0;PreMatch;FormationSet;Successful;;;;;;;;;;;;;;;;;;;0;2719839091;34;;;59;130;131;227;30;197;44;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;bs7fssm0syqh9ryaj17kx8vhm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;7;;;;Levante UD;0;0;;;7;1;CD Eldense;7
4;0;2;ba8jyjo18tvjwei7w7thljw10;25,935;40,188;FirstHalf;Pass;Unsuccessful;;;;;;b77kh74z0degwk7uebulez4r9;76,23;0;;;;;;;;;;;0,033333333;2719900035;1;Marc Mateu;;;;;;;;;;;;56;;140;212;213;141;157;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Right;;72.6;65.0;5.60;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;8;;;;Levante UD;34,76788936;0;-38,62645045;M. Mateu;8;1;CD Eldense;8
4;0;21;4grc9qgcvusllap8h5j6gc5h5;31,5;68;FirstHalf;Pass;Unsuccessful;;;;;;bqb9wziyiw0rngildx44uhxbd;62,055;56,304;;;;;;;;;;;0,35;2719900787;1;Diego Pampin;;;;;;;;;;;;56;;140;212;213;141;;1;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Left;;59.1;33.0;5.89;82.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;9;;;;CD Eldense;32,59147984;0;-20,9461034;D. Pampin;9;1;CD Eldense;9
7;0;27;ba8jyjo18tvjwei7w7thljw10;39,27;22,984;FirstHalf;Pass;Successful;;;;;;dkj2cs6ooieumatdliqg1nq39;36,12;36,176;;;;;;;;;;;0,45;2719901051;1;D. Dumic;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;34.4;13.6;1.81;53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;10;0,01269174;0,01262646;-6,528E-05;Levante UD;-2,267643606;0;103,4296797;D. Dumic;10;1;CD Eldense;10
