"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_Length","type_value_Angle","type_value_Zone","type_value_PassEndX","type_value_Longball","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_ShotAssist","type_value_KeyPass","type_value_RegularPlay","type_value_Assisted","type_value_LeftFoot","type_value_RelatedEventId","type_value_GoalMouthZ","type_value_GoalMouthY","type_value_OutOfBoxCentre","type_value_IndividualPlay","type_value_BlockedX","type_value_BlockedY","type_value_LowCentre","type_value_Blocked","type_value_OutfielderBlock","type_value_MissLeft","type_value_CornerTaken","type_value_Chipped","type_value_LayOff","type_value_GoalKick","type_value_ThrowIn","type_value_PlayerCaughtOffside","type_value_GoalDisallowed","type_value_IndirectFreekickTaken","type_value_FreekickTaken","type_value_Cross","type_value_Head","type_value_LeadingToAttempt","type_value_Volley","type_value_BoxCentre","type_value_FirstTouch","type_value_DivingSave","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_HeadPass","type_value_MissRight","type_value_KeeperThrow","type_value_Foul","type_value_IntentionalAssist","type_value_SetPiece","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_BigChance","type_value_LowLeft","type_value_SmallBoxRight","type_value_MissHigh","type_value_LowRight","type_value_BoxRight","type_value_Throughball","type_value_OneOnOne","type_value_RightFoot","type_value_HighRight","type_value_StandingSave","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_SmallBoxCentre","type_value_HighClaim","type_value_HighLeft","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_TeamFormation","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_Yellow","type_value_OverRun","type_value_BlockedCross","type_value_BoxLeft","type_value_FromCorner","value_PassEndY","value_Length","value_Angle","value_Zone","value_PassEndX","value_Longball","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_ShotAssist","value_KeyPass","value_RegularPlay","value_Assisted","value_LeftFoot","value_RelatedEventId","value_GoalMouthZ","value_GoalMouthY","value_OutOfBoxCentre","value_IndividualPlay","value_BlockedX","value_BlockedY","value_LowCentre","value_Blocked","value_OutfielderBlock","value_MissLeft","value_CornerTaken","value_Chipped","value_LayOff","value_GoalKick","value_ThrowIn","value_PlayerCaughtOffside","value_GoalDisallowed","value_IndirectFreekickTaken","value_FreekickTaken","value_Cross","value_Head","value_LeadingToAttempt","value_Volley","value_BoxCentre","value_FirstTouch","value_DivingSave","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_HeadPass","value_MissRight","value_KeeperThrow","value_Foul","value_IntentionalAssist","value_SetPiece","value_BigChanceCreated","value_IntentionalGoalAssist","value_BigChance","value_LowLeft","value_SmallBoxRight","value_MissHigh","value_LowRight","value_BoxRight","value_Throughball","value_OneOnOne","value_RightFoot","value_HighRight","value_StandingSave","value_ParriedSafe","value_KeeperSaveObox","value_SmallBoxCentre","value_HighClaim","value_HighLeft","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_TeamFormation","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_Yellow","value_OverRun","value_BlockedCross","value_BoxLeft","value_FromCorner","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,65,52.71,33.796,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,402197,45.465,37.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2745000425,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.9","8.1","2.69","Back","43.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.01689528,0.01484598,-0.0020493,"Barcelona","FK Crvena Zvezda",8,"Pedri","AMC",TRUE,-7.33777031817386,0,153.984813770512,"Pedri",1,1,"Barcelona",1
2,4,0,1,65,45.465,37.332,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,454343,42.525,43.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666666667,2745000429,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63.6","6.6","2.03","Back","40.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.01484598,0.01269174,-0.00215424,"Barcelona","FK Crvena Zvezda",17,"Marc Casado","DMC",TRUE,-3.52760051930129,0,116.425419172,"M. Casado",2,1,"Barcelona",2
3,5,0,2,65,42.525,43.248,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,279423,36.75,28.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2745000433,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2","15.7","4.33","Back","35.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.01269174,0.01262646,-6.52799999999992e-05,"Barcelona","FK Crvena Zvezda",21,"Frenkie de Jong","DMC",TRUE,-5.30001926814772,0,-111.645784990535,"F. d. Jong",3,1,"Barcelona",3
4,6,0,3,65,37.065,29.512,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,498386,38.535,44.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2745000449,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.8","15.3","1.47","Back","36.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.01262646,0.01269174,6.52799999999992e-05,"Barcelona","FK Crvena Zvezda",2,"Pau Cubarsi","DC",TRUE,0.755305784633791,0,84.4876072208904,"P. Cubarsi",4,1,"Barcelona",4
5,7,0,7,65,38.01,44.744,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,106885,39.69,27.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2745000469,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.6","17.2","4.81","Back","37.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.01269174,0.01262646,-6.52799999999992e-05,"Barcelona","FK Crvena Zvezda",5,"Inigo Martinez","DC",TRUE,2.22405016376598,0,-84.4006606634794,"I. Martinez",5,1,"Barcelona",5
6,8,0,9,65,39.69,26.18,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 36, 38, 216, 218)",TRUE,498386,69.72,5.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2745000479,0,141,212,213,56,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.6","36.3","5.69","Right","66.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.01262646,0.02122129,0.00859483,"Barcelona","FK Crvena Zvezda",2,"Pau Cubarsi","DC",TRUE,20.6410025712937,0,-34.1002112585071,"P. Cubarsi",6,1,"Barcelona",6
7,9,0,12,65,69.72,5.848,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,480249,76.86,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2745000489,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.0","8.0","0.48","Right","73.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.02122129,0.02401521,0.00279392,"Barcelona","FK Crvena Zvezda",19,"Lamine Yamal","AMR",TRUE,7.83764642621156,0,27.2161115573075,"L. Yamal",7,1,"Barcelona",7
8,10,0,13,65,77.07,10.132,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 37, 217, 218)",TRUE,402197,74.235,15.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2745000513,0,141,212,213,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.1","6.3","2.04","Center","70.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,0.02953272,0.02401521,-0.00551751,"Barcelona","FK Crvena Zvezda",8,"Pedri","AMC",TRUE,0.946953389984863,0,116.950103167663,"Pedri",8,1,"Barcelona",8
9,3,0,14,579,30.24,52.768,"FirstHalf","Challenge","Unsuccessful",NA,NA,NA,"55",FALSE,127429,30.24,52.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2745000511,0,NA,NA,NA,56,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,NA,NA,NA,"FK Crvena Zvezda","Barcelona",8,"Guelor Kanga","MC",TRUE,0,0,0,"G. Kanga",9,1,"Barcelona",9
10,11,0,14,65,74.76,15.232,"FirstHalf","TakeOn","Successful",NA,NA,NA,"c(91, 54)",TRUE,480249,74.76,15.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2745000517,0,NA,NA,NA,56,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-06 22:02:47",0,"Rajko Mitic Stadium","Espen Eskås","2 : 5",579,65,NA,NA,NA,"Barcelona","FK Crvena Zvezda",19,"Lamine Yamal","AMR",TRUE,0,0,0,"L. Yamal",10,1,"Barcelona",10
