"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","qualifiers","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,2,0,0,332,0,0,"FirstHalf","Start","Successful",NA,NA,NA,"integer(0)",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2718123135,0,"list()",NA,NA,NA,"Czechia","Georgia",NA,NA,NA,NA,0,0,NA,NA,1,1,"Czechia",1
2,2,0,0,413,0,0,"FirstHalf","Start","Successful",NA,NA,NA,"integer(0)",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2718123131,0,"list()",NA,NA,NA,"Georgia","Czechia",NA,NA,NA,NA,0,0,NA,NA,2,1,"Czechia",2
3,3,0,0,332,52.815,34.204,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,421751,37.8,40.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2718123143,0,"list(type = list(value = c(212, 141, 56, 213, 140), displayName = c(""Length"", ""PassEndY"", ""Zone"", ""Angle"", ""PassEndX"")), value = c(""16.2"", ""59.3"", ""Back"", ""2.75"", ""36.0""))",0.01689528,0.01262646,-0.00426882,"Czechia","Georgia",11,"Tomas Cvancara","AMC",TRUE,-15.3115121289007,0,157.824563938503,"T. Cvancara",3,1,"Czechia",3
4,4,0,4,332,37.8,40.324,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,404245,84.105,16.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2718123157,0,"list(type = list(value = c(1, 140, 212, 56, 141, 213), displayName = c(""Longball"", ""PassEndX"", ""Length"", ""Zone"", ""PassEndY"", ""Angle"")), value = c(NA, ""80.1"", ""52.1"", ""Center"", ""24.3"", ""5.81""))",NA,NA,NA,"Czechia","Georgia",7,"Ladislav Krejci","DC",TRUE,40.2570209766719,0,-27.2024102865261,"L. Krejci",4,1,"Czechia",4
5,3,0,7,413,17.64,60.316,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 215, 218)",TRUE,247643,34.125,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2718123191,0,"list(type = list(value = c(212, 213, 140, 141, 56, 3), displayName = c(""Length"", ""Angle"", ""PassEndX"", ""PassEndY"", ""Zone"", ""HeadPass"")), value = c(""18.8"", ""0.50"", ""32.5"", ""100.0"", ""Back"", NA))",NA,NA,NA,"Georgia","Czechia",3,"Lasha Dvali","DC",TRUE,12.6293048128512,0,24.9912014145922,"L. Dvali",5,1,"Czechia",5
6,6,0,24,332,85.575,0,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 35, 37, 217)",TRUE,111372,75.705,5.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2718123261,0,"list(type = list(value = c(213, 107, 141, 140, 212, 56), displayName = c(""Angle"", ""ThrowIn"", ""PassEndY"", ""PassEndX"", ""Length"", ""Zone"")), value = c(""2.58"", NA, ""7.6"", ""72.1"", ""11.7"", ""Right""))",0.03485072,0.02122129,-0.01362943,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,-1.94553390112907,0,152.36313580142,"V. Coufal",6,1,"Czechia",6
7,6.5,0,25.5,332,75.705,5.168,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,404203,72.03,4.828,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.425,NA,NA,"NULL",0.02122129,0.02122129,0,"Czechia","Georgia",2,"David Zima","DC",TRUE,0,-2.91972247057702,-174.714212757612,"D. Zima",7,1,"Czechia",7
8,7,0,27,332,72.03,4.828,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 38, 217, 218)",TRUE,404203,83.265,3.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,2718123265,0,"list(type = list(value = c(140, 56, 212, 213, 141), displayName = c(""PassEndX"", ""Zone"", ""Length"", ""Angle"", ""PassEndY"")), value = c(""79.3"", ""Right"", ""11.3"", ""6.17"", ""5.3""))",0.02122129,0.02756312,0.00634183,"Czechia","Georgia",2,"David Zima","DC",TRUE,6.65556255020729,0,-6.21758202176003,"D. Zima",8,1,"Czechia",8
9,8,0,28,332,83.265,3.604,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,111372,68.775,6.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466666666666667,2718123285,0,"list(type = list(value = c(141, 213, 212, 56, 140), displayName = c(""PassEndY"", ""Angle"", ""Length"", ""Zone"", ""PassEndX"")), value = c(""9.8"", ""2.93"", ""14.8"", ""Right"", ""65.5""))",0.02756312,0.0174506,-0.01011252,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,-8.01433758885812,0,168.075476062388,"V. Coufal",9,1,"Czechia",9
10,8.5,0,29,332,68.775,6.664,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,404203,66.57,11.016,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.483333333333333,NA,NA,"NULL",0.02122129,0.01870347,-0.00251782,"Czechia","Georgia",2,"David Zima","DC",TRUE,0,0.603128705350301,116.869673406426,"D. Zima",10,1,"Czechia",10
