"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","assist","type_value_Player position","type_value_Team formation","type_value_Resume","type_value_Team player formation","type_value_Team kit","type_value_Captain","type_value_Jersey number","type_value_Involved","type_value_Direction of Play","type_value_Pass End X","type_value_Kick Off","type_value_Angle","type_value_Pass End Y","type_value_Length","type_value_Zone","type_value_Chipped","type_value_Launch","type_value_Long ball","type_value_Head pass","type_value_Players caught offside","type_value_Free kick taken","type_value_Indirect","type_value_Not visible","type_value_Regular play","type_value_Assist","type_value_Intentional
assist","type_value_Goal mouth z coordinate","type_value_GK Y Coordinate","type_value_Left footed","type_value_Related event ID","type_value_Goal mouth y coordinate","type_value_Low right","type_value_Big Chance","type_value_Assisted","type_value_Box-deep left","type_value_Keeper Touched","type_value_First Touch","type_value_GK X blocked","type_value_Throw-in","type_value_In-swinger","type_value_Cross","type_value_Head","type_value_Offensive","type_value_Opposite related event ID","type_value_Opposite
related
event ID","type_value_Defensive","type_value_Right footed","type_value_Out-swinger","type_value_Direct","type_value_Attempted Tackle","type_value_Foul","type_value_Goal Kick","type_value_Low","type_value_Out of play","type_value_Keeper Throw","type_value_Blocked
Pass","type_value_Lay-off","type_value_Left","type_value_Right","type_value_Corner taken","type_value_Shirt Pull/Holding","type_value_Yellow Card","type_value_Fast Break","type_value_Fast break","type_value_High centre","type_value_Volley","type_value_Box-centre","type_value_Out of box-centre","type_value_Individual Play","type_value_Blocked x co-ordinate","type_value_Blocked y co-ordinate","type_value_Low centre","type_value_Hands","type_value_Collected","type_value_Stooping","type_value_Close left","type_value_Switch of play","type_value_High","type_value_Overrun","type_value_Pull Back","type_value_From corner","type_value_Blocked","type_value_Def block","type_value_Blocked cross","type_value_Flick-on","type_value_Through ball","type_value_Low left","type_value_Diving","type_value_Out of box-deep left","type_value_Deflection","type_value_Parried danger","type_value_Dangerous play","type_value_Box-left","type_value_Parried safe","type_value_Over-arm","type_value_Small box-left","type_value_Box-right","type_value_End type","type_value_Tactical","type_value_Detailed Position ID","type_value_Position Side ID","type_value_Formation slot","type_value_Box-deep right","type_value_High Right","type_value_Strong","type_value_Captain change","type_value_Small box-right","type_value_Set piece","type_value_Leading to attempt","type_value_1 on 1","type_value_Close left and high","type_value_Gk kick from hands","type_value_Shove/push","type_value_Straight","type_value_Standing","type_value_High claim","type_value_Game end","value_Team formation","value_Captain","value_Direction of Play","value_Pass End X","value_Kick Off","value_Angle","value_Pass End Y","value_Length","value_Zone","value_Chipped","value_Launch","value_Long ball","value_Head pass","value_Players caught offside","value_Free kick taken","value_Indirect","value_Not visible","value_Regular play","value_Assist","value_Intentional
assist","value_Goal mouth z coordinate","value_GK Y Coordinate","value_Left footed","value_Related event ID","value_Goal mouth y coordinate","value_Low right","value_Big Chance","value_Assisted","value_Box-deep left","value_Keeper Touched","value_First Touch","value_GK X blocked","value_Throw-in","value_In-swinger","value_Cross","value_Head","value_Offensive","value_Opposite related event ID","value_Opposite
related
event ID","value_Defensive","value_Right footed","value_Out-swinger","value_Direct","value_Attempted Tackle","value_Foul","value_Goal Kick","value_Low","value_Out of play","value_Keeper Throw","value_Blocked
Pass","value_Lay-off","value_Left","value_Right","value_Corner taken","value_Shirt Pull/Holding","value_Yellow Card","value_Fast Break","value_Fast break","value_High centre","value_Volley","value_Box-centre","value_Out of box-centre","value_Individual Play","value_Blocked x co-ordinate","value_Blocked y co-ordinate","value_Low centre","value_Hands","value_Collected","value_Stooping","value_Close left","value_Switch of play","value_High","value_Overrun","value_Pull Back","value_From corner","value_Blocked","value_Def block","value_Blocked cross","value_Flick-on","value_Through ball","value_Low left","value_Diving","value_Out of box-deep left","value_Deflection","value_Parried danger","value_Dangerous play","value_Box-left","value_Parried safe","value_Over-arm","value_Small box-left","value_Box-right","value_End type","value_Tactical","value_Detailed Position ID","value_Position Side ID","value_Formation slot","value_Box-deep right","value_High Right","value_Strong","value_Captain change","value_Small box-right","value_Set piece","value_Leading to attempt","value_1 on 1","value_Close left and high","value_Gk kick from hands","value_Shove/push","value_Straight","value_Standing","value_High claim","value_Game end","teamName","h_a","ft","timeStamp","venueName","competition","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
2,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2727856055,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left to Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",1,NA,NA,NA,"UD Almería",0,0,NA,NA,1,1,"Levante UD",1
2,0,0,"cobffe32r7g4skka9m19qib63",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2727856049,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right to Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UD Almería","away","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",2,NA,NA,NA,"Levante UD",0,0,NA,NA,2,1,"Levante UD",2
3,0,0,"4grc9qgcvusllap8h5j6gc5h5",52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"9y7202khwzb48ea7im646m11x",39.9,26.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2727856067,1,"Jose Luis Morales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,279,213,141,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.0","S","3.67","39.2","14.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",3,0.01689528,0.01262646,-0.00426882,"UD Almería",-13.0129325858643,0,-149.763923809144,"J. L. Morales",3,1,"Levante UD",3
781,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"PostGame","End","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2728011507,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",4,NA,NA,NA,"UD Almería",0,0,NA,NA,4,1,"Levante UD",4
881,0,0,"cobffe32r7g4skka9m19qib63",0,0,"PostGame","End","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2728011957,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UD Almería","away","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",5,NA,NA,NA,"Levante UD",0,0,NA,NA,5,1,"Levante UD",5
1,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"PreMatch","FormationSet","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2727818665,34,NA,NA,44,130,227,131,197,194,59,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","e98i1kwb733b830mk2wqdlene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",6,NA,NA,NA,"UD Almería",0,0,NA,NA,6,1,"Levante UD",6
1,0,0,"cobffe32r7g4skka9m19qib63",0,0,"PreMatch","FormationSet","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2727819509,34,NA,NA,44,130,227,131,197,194,59,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","5rabxq8qyxf2q2ak506xim9rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UD Almería","away","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",7,NA,NA,NA,"Levante UD",0,0,NA,NA,7,1,"Levante UD",7
3.5,0,1.5,"4grc9qgcvusllap8h5j6gc5h5",39.9,26.656,"FirstHalf","Carry","Successful",999,"takeOns","0",NA,TRUE,"6disrpsqjrkg0ye06a5y6box5",38.01,20.604,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",8,0.01262646,0.01269174,6.52799999999992e-05,"UD Almería",0,-2.80333865313118,-107.343242795717,NA,8,1,"Levante UD",8
4,0,3,"4grc9qgcvusllap8h5j6gc5h5",38.01,20.604,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"6disrpsqjrkg0ye06a5y6box5",28.665,24.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2727856149,1,"G. Kochorashvili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,213,141,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.3",NA,"2.71","36.6","10.3","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",9,0.01269174,0.01110462,-0.00158712,"UD Almería",-8.56064837280999,0,155.372001928522,"G. Kochorashvili",9,1,"Levante UD",9
5,0,5,"4grc9qgcvusllap8h5j6gc5h5",28.245,26.384,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"4ig4kv8c1xew1jlsy1k2iga21",28.665,45.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,2727856223,1,"Unai Elgezabal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,213,141,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.3",NA,"1.55","67.6","19.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","4 : 2","2024-09-29","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",10,0.01132376,0.01110462,-0.00021914,"UD Almería",-0.135568960019043,0,88.7714185512544,"U. Elgezabal",10,1,"Levante UD",10
