"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","type_value_Resume","type_value_Involved","type_value_Jersey number","type_value_Team formation","type_value_Player position","type_value_Team player formation","type_value_Team kit","type_value_Captain","type_value_Direction of Play","type_value_Pass End X","type_value_Pass End Y","type_value_Zone","type_value_Length","type_value_Angle","type_value_Kick Off","type_value_Long ball","type_value_Chipped","type_value_Throw-in","type_value_Out of play","type_value_Launch","type_value_Opposite related event ID","type_value_Opposite
related
event ID","type_value_Offensive","type_value_Defensive","type_value_Right","type_value_Left","type_value_Corner taken","type_value_Out-swinger","type_value_Right footed","type_value_Cross","type_value_Head","type_value_Shirt Pull/Holding","type_value_Foul","type_value_Direct","type_value_Not visible","type_value_Free kick taken","type_value_Pull Back","type_value_Assist","type_value_Intentional
assist","type_value_Blocked x co-ordinate","type_value_Blocked y co-ordinate","type_value_GK X blocked","type_value_Blocked","type_value_Goal mouth y coordinate","type_value_Assisted","type_value_Goal mouth z coordinate","type_value_Low centre","type_value_First Touch","type_value_Regular play","type_value_GK Y Coordinate","type_value_Related event ID","type_value_Box-centre","type_value_Def block","type_value_Out of box-centre","type_value_Volley","type_value_High left","type_value_Goal Kick","type_value_Low","type_value_Switch of play","type_value_Blocked
Pass","type_value_Blocked cross","type_value_Left footed","type_value_In-swinger","type_value_Flick-on","type_value_Yellow Card","type_value_Overhit Cross","type_value_Head pass","type_value_Attempted Tackle","type_value_Lay-off","type_value_Close right","type_value_Box-right","type_value_Players caught offside","type_value_Indirect","type_value_Through ball","type_value_Keeper Throw","type_value_Over-arm","type_value_Aerial Foul","type_value_Individual Play","type_value_Fast Break","type_value_Fast break","type_value_Low right","type_value_Diving","type_value_Hands","type_value_Parried danger","type_value_Box-left","type_value_Weak","type_value_High Right","type_value_Shove/push","type_value_High","type_value_Free kick","type_value_Hand","type_value_Six yard blocked","type_value_From corner","type_value_Argument","type_value_End type","type_value_Tactical","type_value_Position Side ID","type_value_Formation slot","type_value_Detailed Position ID","type_value_Overrun","type_value_Close left","type_value_Set piece","type_value_By Wall","type_value_Captain change","type_value_Straight","type_value_Low left","type_value_Box-deep right","type_value_Parried safe","type_value_Gk kick from hands","type_value_High claim","type_value_Not past goal line","type_value_GK hoof","type_value_Own Player","type_value_Own shot blocked","type_value_Own Shot Blocked","type_value_Game end","value_Team formation","value_Captain","value_Direction of Play","value_Pass End X","value_Pass End Y","value_Zone","value_Length","value_Angle","value_Kick Off","value_Long ball","value_Chipped","value_Throw-in","value_Out of play","value_Launch","value_Opposite related event ID","value_Opposite
related
event ID","value_Offensive","value_Defensive","value_Right","value_Left","value_Corner taken","value_Out-swinger","value_Right footed","value_Cross","value_Head","value_Shirt Pull/Holding","value_Foul","value_Direct","value_Not visible","value_Free kick taken","value_Pull Back","value_Assist","value_Intentional
assist","value_Blocked x co-ordinate","value_Blocked y co-ordinate","value_GK X blocked","value_Blocked","value_Goal mouth y coordinate","value_Assisted","value_Goal mouth z coordinate","value_Low centre","value_First Touch","value_Regular play","value_GK Y Coordinate","value_Related event ID","value_Box-centre","value_Def block","value_Out of box-centre","value_Volley","value_High left","value_Goal Kick","value_Low","value_Switch of play","value_Blocked
Pass","value_Blocked cross","value_Left footed","value_In-swinger","value_Flick-on","value_Yellow Card","value_Overhit Cross","value_Head pass","value_Attempted Tackle","value_Lay-off","value_Close right","value_Box-right","value_Players caught offside","value_Indirect","value_Through ball","value_Keeper Throw","value_Over-arm","value_Aerial Foul","value_Individual Play","value_Fast Break","value_Fast break","value_Low right","value_Diving","value_Hands","value_Parried danger","value_Box-left","value_Weak","value_High Right","value_Shove/push","value_High","value_Free kick","value_Hand","value_Six yard blocked","value_From corner","value_Argument","value_End type","value_Tactical","value_Position Side ID","value_Formation slot","value_Detailed Position ID","value_Overrun","value_Close left","value_Set piece","value_By Wall","value_Captain change","value_Straight","value_Low left","value_Box-deep right","value_Parried safe","value_Gk kick from hands","value_High claim","value_Not past goal line","value_GK hoof","value_Own Player","value_Own shot blocked","value_Own Shot Blocked","value_Game end","teamName","h_a","ft","timeStamp","venueName","competition","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
2,0,0,"clo928vcczjp0mczavs5o7p5k",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731838021,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right to Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Oviedo","away","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",1,NA,NA,NA,"Levante UD",0,0,NA,NA,1,1,"Levante UD",1
2,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731838039,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left to Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",2,NA,NA,NA,"Real Oviedo",0,0,NA,NA,2,1,"Levante UD",2
3,0,0,"4grc9qgcvusllap8h5j6gc5h5",52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"9y7202khwzb48ea7im646m11x",44.1,28.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731838077,1,"Jose Luis Morales",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0","41.5","Back","10.2","3.74","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",3,0.01484598,0.01262646,-0.00221952,"Real Oviedo",-8.67367407635412,0,-145.468324865087,"J. L. Morales",3,1,"Levante UD",3
777,0,0,"clo928vcczjp0mczavs5o7p5k",0,0,"PostGame","End","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731973579,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Oviedo","away","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",4,NA,NA,NA,"Levante UD",0,0,NA,NA,4,1,"Levante UD",4
796,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"PostGame","End","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731973533,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",5,NA,NA,NA,"Real Oviedo",0,0,NA,NA,5,1,"Levante UD",5
1,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"PreMatch","FormationSet","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731759961,34,NA,227,30,59,130,44,131,197,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","e98i1kwb733b830mk2wqdlene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",6,NA,NA,NA,"Real Oviedo",0,0,NA,NA,6,1,"Levante UD",6
1,0,0,"clo928vcczjp0mczavs5o7p5k",0,0,"PreMatch","FormationSet","Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2731762097,34,NA,227,30,59,130,44,131,197,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","bw58qgyapbrlir4h629cr5uj9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Oviedo","away","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",7,NA,NA,NA,"Levante UD",0,0,NA,NA,7,1,"Levante UD",7
4,0,3,"4grc9qgcvusllap8h5j6gc5h5",44.1,28.22,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"6disrpsqjrkg0ye06a5y6box5",48.3,5.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2731838109,1,"G. Kochorashvili",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.0","7.9","Back","23.2","4.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",8,0.01262646,0.01248344,-0.000143020000000001,"Real Oviedo",-2.34366516262849,0,-79.5839716924293,"G. Kochorashvili",8,1,"Levante UD",8
5,0,4,"4grc9qgcvusllap8h5j6gc5h5",48.3,5.372,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"awifojlj7tvikhdfqftwhco44",30.66,18.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2731838155,1,"Andres Garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.2","27.6","Back","22.1","2.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",9,0.01248344,0.01110462,-0.00137882,"Real Oviedo",-12.3671086011381,0,142.786584261332,"A. Garcia",9,1,"Levante UD",9
6,0,7,"4grc9qgcvusllap8h5j6gc5h5",30.555,19.04,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"4ig4kv8c1xew1jlsy1k2iga21",29.19,44.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2731838197,1,"Unai Elgezabal",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.8","65.4","Back","25.5","1.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",10,0.01110462,0.01110462,0,"Real Oviedo",-0.596598460416871,0,93.0722620657953,"U. Elgezabal",10,1,"Levante UD",10
