"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_Angle","type_value_Length","type_value_PassEndX","type_value_PassEndY","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_LeadingToAttempt","type_value_BoxCentre","type_value_LeftFoot","type_value_GoalMouthY","type_value_GoalMouthZ","type_value_FirstTouch","type_value_RegularPlay","type_value_MissHigh","type_value_GoalKick","type_value_Longball","type_value_HeadPass","type_value_Chipped","type_value_LayOff","type_value_RightFoot","type_value_Cross","type_value_KeeperThrow","type_value_MissLeft","type_value_CornerTaken","type_value_ThrowIn","type_value_Foul","type_value_RelatedEventId","type_value_Yellow","type_value_FreekickTaken","type_value_Head","type_value_BlockedCross","type_value_BlockedX","type_value_LowCentre","type_value_BlockedY","type_value_FromCorner","type_value_Blocked","type_value_OutfielderBlock","type_value_Penalty","type_value_BigChance","type_value_HighRight","type_value_DivingSave","type_value_KeeperMissed","type_value_ShotAssist","type_value_KeyPass","type_value_Assisted","type_value_IndividualPlay","type_value_BoxRight","type_value_ParriedSafe","type_value_Feet","type_value_KeeperSaveInTheBox","type_value_OutOfBoxCentre","type_value_MissRight","type_value_IntentionalAssist","type_value_HighCentre","type_value_Hands","type_value_KeeperSaveObox","type_value_Throughball","type_value_OverRun","type_value_LowLeft","type_value_AerialFoul","type_value_DirectFreekick","type_value_LowRight","type_value_SetPiece","type_value_Volley","type_value_StandingSave","type_value_ParriedDanger","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighLeft","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_DeepBoxRight","type_value_HighClaim","type_value_CaptainPlayerId","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_Red","type_value_FastBreak","type_value_OtherBodyPart","value_Zone","value_Angle","value_Length","value_PassEndX","value_PassEndY","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_LeadingToAttempt","value_BoxCentre","value_LeftFoot","value_GoalMouthY","value_GoalMouthZ","value_FirstTouch","value_RegularPlay","value_MissHigh","value_GoalKick","value_Longball","value_HeadPass","value_Chipped","value_LayOff","value_RightFoot","value_Cross","value_KeeperThrow","value_MissLeft","value_CornerTaken","value_ThrowIn","value_Foul","value_RelatedEventId","value_Yellow","value_FreekickTaken","value_Head","value_BlockedCross","value_BlockedX","value_LowCentre","value_BlockedY","value_FromCorner","value_Blocked","value_OutfielderBlock","value_Penalty","value_BigChance","value_HighRight","value_DivingSave","value_KeeperMissed","value_ShotAssist","value_KeyPass","value_Assisted","value_IndividualPlay","value_BoxRight","value_ParriedSafe","value_Feet","value_KeeperSaveInTheBox","value_OutOfBoxCentre","value_MissRight","value_IntentionalAssist","value_HighCentre","value_Hands","value_KeeperSaveObox","value_Throughball","value_OverRun","value_LowLeft","value_AerialFoul","value_DirectFreekick","value_LowRight","value_SetPiece","value_Volley","value_StandingSave","value_ParriedDanger","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighLeft","value_BigChanceCreated","value_IntentionalGoalAssist","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_DeepBoxRight","value_HighClaim","value_CaptainPlayerId","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_Red","value_FastBreak","value_OtherBodyPart","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,838,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,380655,44.94,35.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2737223681,0,56,213,212,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","2.93","7.7","42.8","52.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,0.01484598,0.01484598,0,"Las Palmas","Valencia",37,"Fabio Silva","FW",TRUE,-7.58216893555026,0,167.818318313347,"F. Silva",1,1,"Las Palmas",1
2,3.5,0,1.5,838,44.94,35.632,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,91214,44.73,38.896,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,0.01484598,0.01484598,0,"Las Palmas","Valencia",8,"Jose Campana","DMC",TRUE,0,-0.386365989648645,93.6812355591014,"J. Campana",2,1,"Las Palmas",2
3,4,0,3,838,44.73,38.896,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,91214,35.175,48.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2737223729,0,56,213,212,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","2.35","13.6","33.5","71.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,0.01484598,0.01110462,-0.00374136,"Las Palmas","Valencia",8,"Jose Campana","DMC",TRUE,-10.8567153652838,0,134.698775679833,"J. Campana",3,1,"Las Palmas",3
4,5,0,7,838,32.76,48.688,"FirstHalf","Dispossessed","Successful",NA,NA,NA,"c(91, 70)",TRUE,364624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2737223733,0,56,NA,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,NA,NA,NA,"Las Palmas","Valencia",15,"Scott McKenna","DC",TRUE,0,0,NA,"S. McKenna",4,1,"Las Palmas",4
5,3,0,7,55,72.24,19.312,"FirstHalf","Tackle","Successful",NA,NA,NA,"c(91, 143)",TRUE,400358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2737223719,0,56,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,NA,NA,NA,"Valencia","Las Palmas",17,"Dani Gomez","FW",TRUE,0,0,NA,"D. Gomez",5,1,"Las Palmas",5
6,8,0,8,838,20.895,41.82,"FirstHalf","Error","Successful",NA,NA,NA,"99",FALSE,364624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2737223833,0,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,NA,NA,NA,"Las Palmas","Valencia",15,"Scott McKenna","DC",TRUE,0,0,NA,"S. McKenna",6,1,"Las Palmas",6
7,5,0,10,55,100.8,18.904,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 35, 37, 217, 218)",TRUE,400358,100.59,36.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2737223749,0,56,213,212,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","1.58","18.0","95.8","54.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,NA,NA,NA,"Valencia","Las Palmas",17,"Dani Gomez","FW",TRUE,10.3780699890924,0,90.667678637723,"D. Gomez",7,1,"Las Palmas",7
8,6,0,13,838,5.145,29.444,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 215)",TRUE,411914,10.395,34.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2737223767,0,56,213,212,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","0.80","7.6","9.9","51.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,NA,NA,NA,"Las Palmas","Valencia",29,"Dario Essugo","DMC",TRUE,0,0,46.018246211631,"D. Essugo",8,1,"Las Palmas",8
9,6,0,13,55,94.395,31.008,"FirstHalf","MissedShots","Successful",NA,NA,NA,"c(91, 7, 90, 10, 1, 3, 13)",TRUE,295964,NA,NA,NA,NA,87.5,35.972,TRUE,NA,NA,NA,NA,NA,0.216666666666667,2737223765,0,56,NA,NA,NA,NA,NA,NA,NA,NA,17,72,102,103,328,22,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.9","87.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,NA,NA,NA,"Valencia","Las Palmas",7,"Sergi Canos","MR",TRUE,0,0,NA,"S. Canos",9,1,"Las Palmas",9
10,9,0,35,838,3.255,39.168,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,364624,3.57,35.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333333333,2737223995,0,56,213,212,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","4.81","3.3","3.4","52.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-22 05:49:17",42453,"Mestalla","Jesús Gil Manzano","2 : 3",55,838,0.00941056,0.00941056,0,"Las Palmas","Valencia",15,"Scott McKenna","DC",TRUE,0.429550748080587,0,-84.5994330287006,"S. McKenna",10,1,"Las Palmas",10
