"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","type_value_Team player formation","type_value_Resume","type_value_Team formation","type_value_Involved","type_value_Captain","type_value_Team kit","type_value_Jersey number","type_value_Player position","type_value_Direction of Play","type_value_Zone","type_value_Pass End X","type_value_Pass End Y","type_value_Angle","type_value_Length","type_value_Kick Off","type_value_Direct","type_value_Shirt Pull/Holding","type_value_Offensive","type_value_Opposite related event ID","type_value_Foul","type_value_Related event ID","type_value_Defensive","type_value_Yellow Card","type_value_Long ball","type_value_Chipped","type_value_Cross","type_value_Free kick taken","type_value_Intentional
assist","type_value_Assist","type_value_Head","type_value_Box-centre","type_value_First Touch","type_value_Assisted","type_value_Goal mouth z coordinate","type_value_Blocked x co-ordinate","type_value_Goal mouth y coordinate","type_value_Blocked y co-ordinate","type_value_Big Chance","type_value_Low centre","type_value_Set piece","type_value_Hands","type_value_Collected","type_value_Stooping","type_value_None","type_value_Gk kick from hands","type_value_Head pass","type_value_Launch","type_value_GK X blocked","type_value_Regular play","type_value_Box-right","type_value_GK Y Coordinate","type_value_Close left","type_value_Right footed","type_value_Swerve Left","type_value_High","type_value_Goal Kick","type_value_Lay-off","type_value_Not visible","type_value_Throw-in","type_value_Attempted Tackle","type_value_Switch of play","type_value_Individual Play","type_value_Volley","type_value_Low","type_value_Flick-on","type_value_Blocked
Pass","type_value_Left","type_value_Right","type_value_Corner taken","type_value_Through ball","type_value_Last line","type_value_Pull Back","type_value_Out of play","type_value_Overrun","type_value_Out of box-centre","type_value_Blocked","type_value_Def block","type_value_Close right","type_value_Blocked cross","type_value_High left","type_value_Left footed","type_value_In-swinger","type_value_Strong","type_value_High centre","type_value_Parried danger","type_value_Standing","type_value_Not past goal line","type_value_Swerve Right","type_value_Out on
sideline","type_value_Keeper Throw","type_value_End type","type_value_Players caught offside","type_value_Indirect","type_value_Unchallenged","type_value_Saved off line","type_value_Six yard blocked","type_value_Small box-left","type_value_Low right","type_value_Diving","type_value_Parried safe","type_value_From corner","type_value_Follows shot rebound","type_value_Tactical","type_value_Formation slot","type_value_Detailed Position ID","type_value_Position Side ID","type_value_Overhit Cross","type_value_Out-swinger","type_value_Aerial Foul","type_value_Low left","type_value_Shove/push","type_value_Captain change","type_value_Game end","value_Team player formation","value_Resume","value_Team formation","value_Involved","value_Captain","value_Team kit","value_Jersey number.x","value_Player position","value_Direction of Play","value_Zone","value_Pass End X","value_Pass End Y","value_Angle","value_Length","value_Kick Off","value_Direct","value_Shirt Pull/Holding","value_Offensive","value_Opposite related event ID","value_Foul","value_Related event ID","value_Defensive","value_Yellow Card","value_Long ball","value_Chipped","value_Cross","value_Free kick taken","value_Intentional
assist","value_Assist","value_Head","value_Box-centre","value_First Touch","value_Assisted","value_Goal mouth z coordinate","value_Blocked x co-ordinate","value_Goal mouth y coordinate","value_Blocked y co-ordinate","value_Big Chance","value_Low centre","value_Set piece","value_Hands","value_Collected","value_Stooping","value_None","value_Gk kick from hands","value_Head pass","value_Launch","value_GK X blocked","value_Regular play","value_Box-right","value_GK Y Coordinate","value_Close left","value_Right footed","value_Swerve Left","value_High","value_Goal Kick","value_Lay-off","value_Not visible","value_Throw-in","value_Attempted Tackle","value_Switch of play","value_Individual Play","value_Volley","value_Low","value_Flick-on","value_Blocked
Pass","value_Left","value_Right","value_Corner taken","value_Through ball","value_Last line","value_Pull Back","value_Out of play","value_Overrun","value_Out of box-centre","value_Blocked","value_Def block","value_Close right","value_Blocked cross","value_High left","value_Left footed","value_In-swinger","value_Strong","value_High centre","value_Parried danger","value_Standing","value_Not past goal line","value_Swerve Right","value_Out on
sideline","value_Keeper Throw","value_End type","value_Players caught offside","value_Indirect","value_Unchallenged","value_Saved off line","value_Six yard blocked","value_Small box-left","value_Low right","value_Diving","value_Parried safe","value_From corner","value_Follows shot rebound","value_Tactical","value_Formation slot","value_Detailed Position ID","value_Position Side ID","value_Overhit Cross","value_Out-swinger","value_Aerial Foul","value_Low left","value_Shove/push","value_Captain change","value_Game end","teamName","h_a","ft","timeStamp","venueName","competition","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number","formation_position","formation_name","value_Jersey number.y"
2,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2760206653,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right to Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","away","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",1,NA,NA,NA,"Albacete Balompié",0,0,0,NA,1,1,"Albacete Balompié",1,NA,NA,NA
2,0,0,"13zq8jfp5uydowd3ibknxaffj",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2760206655,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left to Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",2,NA,NA,NA,"Levante UD",0,0,0,NA,2,1,"Albacete Balompié",2,NA,NA,NA
3,0,0,"13zq8jfp5uydowd3ibknxaffj",52.395,33.932,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"bjzhwuehd7jzlbh04129h2w9h",41.895,39.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2760206681,1,"Jose Carlos Lazo",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,140,141,213,212,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","39.9","57.4","2.69","11.7","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",3,0.01689528,0.01262646,-0.00426882,"Levante UD",-10.7002642711725,0,154.093492000486,"J. C. Lazo",3,1,"Albacete Balompié",3,"LMF","442",11
4,0,5,"13zq8jfp5uydowd3ibknxaffj",41.895,39.032,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"59cbpdnxrm9rv9e06gthajcwk",31.92,36.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,2760206685,1,"Javi Villar",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,140,141,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","30.4","53.3","3.41","10.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",4,0.01262646,0.01132376,-0.0013027,"Levante UD",-9.8091358782952,0,-164.384388766444,"J. Villar",4,1,"Albacete Balompié",4,"CMF","442",18
5,0,6,"13zq8jfp5uydowd3ibknxaffj",30.87,33.932,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"8bue3x0liiq5tiky0s63dr40k",39.165,14.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2760206697,1,"Lalo Aguilar",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,140,141,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","37.3","21.5","5.12","21.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",5,0.01132376,0.01214719,0.00082343,"Levante UD",5.50181814890971,0,-66.7552346870025,"L. Aguilar",5,1,"Albacete Balompié",5,"LCD","442",27
6,0,8,"13zq8jfp5uydowd3ibknxaffj",39.165,14.62,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"d3ue3bmsm7wd6ib2u1ejyik7p",57.96,4.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2760206703,1,"Jon Garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,140,141,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","55.2","6.2","5.78","21.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",6,0.01214719,0.01473596,0.00258877,"Levante UD",12.9519321292601,0,-28.9667856112508,"J. Garcia",6,1,"Albacete Balompié",6,"RCD","442",14
7,0,9,"13zq8jfp5uydowd3ibknxaffj",57.96,4.216,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"75xbiozismh96vufhrhkng4mi",68.04,7.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2760206713,1,"Javi Rueda",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,140,141,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","64.8","11.1","0.32","10.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",7,0.01473596,0.0174506,0.00271464,"Levante UD",10.2257594171185,0,18.2915902075389,"J. Rueda",7,1,"Albacete Balompié",7,"RB","442",29
8,0,11,"13zq8jfp5uydowd3ibknxaffj",74.13,6.12,"FirstHalf","Foul","Successful",NA,NA,NA,NA,NA,"e18oezz5jq7pf3h4azgv3ofrp",74.13,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2760206717,4,"Fidel",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,152,295,286,233,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albacete Balompié","home","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",8,NA,NA,NA,"Levante UD",0,0,0,"Fidel",8,1,"Albacete Balompié",8,"RMF","442",10
3,0,11,"4grc9qgcvusllap8h5j6gc5h5",30.87,61.88,"FirstHalf","Foul","Unsuccessful",NA,NA,NA,NA,NA,"bqb9wziyiw0rngildx44uhxbd",30.87,61.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2760206709,4,"Diego Pampin",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,152,295,NA,233,13,55,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","away","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",9,NA,NA,NA,"Albacete Balompié",0,0,0,"D. Pampin",9,1,"Albacete Balompié",9,"LB","433",16
3.5,0,12,"4grc9qgcvusllap8h5j6gc5h5",30.87,61.88,"FirstHalf","Carry","Successful",999,"takeOns","0",NA,TRUE,"bqb9wziyiw0rngildx44uhxbd",0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","away","0 : 0","2024-12-17","Estadio Carlos Belmonte","LALIGA HYPERMOTION","2024/2025",10,0.00977659,0.00638303,-0.00339356,"Albacete Balompié",0,-31.1681276766633,-116.513176334292,NA,10,1,"Albacete Balompié",10,"LB","433",16
