"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","assist","type_value_Involved","type_value_Team player formation","type_value_Jersey number","type_value_Captain","type_value_Team formation","type_value_Player position","type_value_Team kit","type_value_Resume","type_value_Direction of Play","type_value_Zone","type_value_Angle","type_value_Pass End Y","type_value_Kick Off","type_value_Pass End X","type_value_Length","type_value_Launch","type_value_Long ball","type_value_Goal Kick","type_value_Chipped","type_value_Not visible","type_value_High","type_value_Head","type_value_Out of play","type_value_Throw-in","type_value_Blocked
Pass","type_value_Offensive","type_value_Opposite related event ID","type_value_Defensive","type_value_None","type_value_Head pass","type_value_Flick-on","type_value_Low","type_value_Switch of play","type_value_Cross","type_value_In-swinger","type_value_Right footed","type_value_Out-swinger","type_value_Left footed","type_value_Assist","type_value_Out of box-centre","type_value_Individual Play","type_value_Low centre","type_value_Swerve Left","type_value_Related event ID","type_value_Regular play","type_value_Goal mouth y coordinate","type_value_Assisted","type_value_Blocked y co-ordinate","type_value_Goal mouth z coordinate","type_value_Blocked x co-ordinate","type_value_Standing","type_value_Collected","type_value_Hands","type_value_GK Start","type_value_Left","type_value_Right","type_value_Corner taken","type_value_Low right","type_value_Parried safe","type_value_Diving","type_value_Intentional
assist","type_value_From corner","type_value_Box-centre","type_value_First Touch","type_value_High left","type_value_GK Y Coordinate","type_value_GK X blocked","type_value_Foul","type_value_Direct","type_value_Shirt Pull/Holding","type_value_Free kick taken","type_value_Set piece","type_value_Small box- centre","type_value_Shove/push","type_value_Pull Back","type_value_Hand","type_value_Through ball","type_value_Volley","type_value_Big Chance","type_value_Feet","type_value_Strong","type_value_Swerve Moving","type_value_Keeper Throw","type_value_Attempted Tackle","type_value_Swerve Right","type_value_Low left","type_value_Blocked","type_value_Def block","type_value_Box-right","type_value_Weak","type_value_1 on 1","type_value_Lay-off","type_value_High Right","type_value_Yellow Card","type_value_Gk kick from hands","type_value_End type","type_value_Tactical","type_value_Position Side ID","type_value_Detailed Position ID","type_value_Formation slot","type_value_Free kick","type_value_Reaching","type_value_Overhit Cross","type_value_Close left","type_value_Overrun","type_value_Box-left","type_value_Fast Break","type_value_Players caught offside","type_value_Indirect","type_value_Small box-right","type_value_Six yard blocked","type_value_High centre","type_value_Other body part","type_value_Time wasting","type_value_Blocked cross","type_value_Throw-in set
piece","type_value_Game end","value_Involved","value_Team player formation","value_Jersey number.x","value_Captain","value_Team formation","value_Player position","value_Team kit","value_Resume","value_Direction of Play","value_Zone","value_Angle","value_Pass End Y","value_Kick Off","value_Pass End X","value_Length","value_Launch","value_Long ball","value_Goal Kick","value_Chipped","value_Not visible","value_High","value_Head","value_Out of play","value_Throw-in","value_Blocked
Pass","value_Offensive","value_Opposite related event ID","value_Defensive","value_None","value_Head pass","value_Flick-on","value_Low","value_Switch of play","value_Cross","value_In-swinger","value_Right footed","value_Out-swinger","value_Left footed","value_Assist","value_Out of box-centre","value_Individual Play","value_Low centre","value_Swerve Left","value_Related event ID","value_Regular play","value_Goal mouth y coordinate","value_Assisted","value_Blocked y co-ordinate","value_Goal mouth z coordinate","value_Blocked x co-ordinate","value_Standing","value_Collected","value_Hands","value_GK Start","value_Left","value_Right","value_Corner taken","value_Low right","value_Parried safe","value_Diving","value_Intentional
assist","value_From corner","value_Box-centre","value_First Touch","value_High left","value_GK Y Coordinate","value_GK X blocked","value_Foul","value_Direct","value_Shirt Pull/Holding","value_Free kick taken","value_Set piece","value_Small box- centre","value_Shove/push","value_Pull Back","value_Hand","value_Through ball","value_Volley","value_Big Chance","value_Feet","value_Strong","value_Swerve Moving","value_Keeper Throw","value_Attempted Tackle","value_Swerve Right","value_Low left","value_Blocked","value_Def block","value_Box-right","value_Weak","value_1 on 1","value_Lay-off","value_High Right","value_Yellow Card","value_Gk kick from hands","value_End type","value_Tactical","value_Position Side ID","value_Detailed Position ID","value_Formation slot","value_Free kick","value_Reaching","value_Overhit Cross","value_Close left","value_Overrun","value_Box-left","value_Fast Break","value_Players caught offside","value_Indirect","value_Small box-right","value_Six yard blocked","value_High centre","value_Other body part","value_Time wasting","value_Blocked cross","value_Throw-in set
piece","value_Game end","teamName","h_a","ft","timeStamp","venueName","competition","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number","formation_position","formation_name","value_Jersey number.y"
2,0,0,"1r541mega6d838hi0p44sv0h2",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2738252597,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right to Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",1,NA,NA,NA,"Levante UD",0,0,0,NA,1,1,"RC Deportivo de La Coruña",1,NA,NA,NA
2,0,0,"4grc9qgcvusllap8h5j6gc5h5",0,0,"FirstHalf","Start","Successful",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2738252643,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left to Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",2,NA,NA,NA,"RC Deportivo de La Coruña",0,0,0,NA,2,1,"RC Deportivo de La Coruña",2,NA,NA,NA
3,0,1,"1r541mega6d838hi0p44sv0h2",52.605,33.932,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"a8ws0c0qiekoeqib6xxet0ixh",41.055,41.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666666667,2738252655,1,"Lucas Perez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,279,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","2.59","60.3","S","39.1","13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",3,0.01689528,0.01262646,-0.00426882,"Levante UD",-11.9323920187557,0,148.521098883024,"L. Perez",3,1,"RC Deportivo de La Coruña",3,"ST","433",7
4,0,3,"1r541mega6d838hi0p44sv0h2",41.685,40.8,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,NA,NA,"1qaj3ssatf8rnzrzuvkla1g5w",105,4.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2738252707,1,"Dani Barcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,157,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","5.77","6.7",NA,"100.0","73.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",4,NA,NA,NA,"Levante UD",34.2351113709983,0,-29.7885217821977,"D. Barcia",4,1,"RC Deportivo de La Coruña",4,"LCD","433",5
4,0,22,"4grc9qgcvusllap8h5j6gc5h5",2.94,35.02,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,NA,NA,"dlc9ht6hrf8bu1sxgqkm8fh79",72.45,51.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366666666666667,2738252897,1,"Andres Fernandez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,1,124,155,189,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","0.23","75.2",NA,"69.0","71.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",5,NA,NA,NA,"RC Deportivo de La Coruña",65.2799776548973,0,13.0534787116776,"A. Fernandez",5,2,"Levante UD",5,"GK","4231",1
6,0,24,"1r541mega6d838hi0p44sv0h2",37.695,11.22,"FirstHalf","Clearance","Successful",NA,NA,NA,NA,NA,"ent06gfizk54phquydtkioep6",36.015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2738252915,12,"Alex Petxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,NA,NA,NA,NA,NA,15,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","4.58","0.0",NA,"34.3","12.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",6,NA,NA,NA,"Levante UD",0,0,-98.5157824043501,"A. Petxa",6,2,"Levante UD",6,"RB","433",6
6,0,38,"4grc9qgcvusllap8h5j6gc5h5",70.875,68,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"7273i4kefuqr1mldvltt60i6s",89.355,63.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633333333333333,2738253103,1,"Marcos Navarro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","5.99","93.2",NA,"85.1","19.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",7,0.02122129,0.03485072,0.01362943,"RC Deportivo de La Coruña",14.8893718530161,0,-14.0479150463988,"M. Navarro",7,2,"Levante UD",7,"LB","4231",29
6.5,0,40,"4grc9qgcvusllap8h5j6gc5h5",89.355,63.376,"FirstHalf","Carry","Successful",999,"takeOns","0",NA,TRUE,"8kj8kbwbfiqloxiilj0i00ep6",93.345,61.744,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",8,0.03485072,0.03485072,0,"RC Deportivo de La Coruña",0,3.18969247265482,-22.2456687105297,NA,8,2,"Levante UD",8,"ST","4231",9
7,0,42,"4grc9qgcvusllap8h5j6gc5h5",93.345,61.744,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,NA,NA,"8kj8kbwbfiqloxiilj0i00ep6",91.875,61.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2738253107,1,"Ivan Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,286,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","3.23","90.6",NA,"87.5","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",9,NA,NA,NA,"RC Deportivo de La Coruña",-0.476391472642629,0,-174.714212757612,"I. Romero",9,2,"Levante UD",9,"ST","4231",9
11,0,42,"1r541mega6d838hi0p44sv0h2",20.685,5.372,"FirstHalf","BlockedPass","Successful",NA,NA,NA,NA,NA,"ent06gfizk54phquydtkioep6",20.685,5.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2738253289,74,"Alex Petxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",10,NA,NA,NA,"Levante UD",0,0,0,"A. Petxa",10,3,"RC Deportivo de La Coruña",10,"RB","433",6
